#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS15_KS_XXmm_SINGLE_LAYER"
3.780410588E-01 9.144000411E-01 -3.605359420E-02
3.761581182E-01 9.144000411E-01 -3.610795736E-02
3.742751777E-01 9.144000411E-01 -3.616051003E-02
3.723922074E-01 9.144000411E-01 -3.621307015E-02
3.705091774E-01 9.144000411E-01 -3.626380116E-02
3.686261475E-01 9.144000411E-01 -3.631453589E-02
3.667431176E-01 9.144000411E-01 -3.636341542E-02
3.648600578E-01 9.144000411E-01 -3.641229868E-02
3.629769385E-01 9.144000411E-01 -3.645930067E-02
3.610938191E-01 9.144000411E-01 -3.650630265E-02
3.592106700E-01 9.144000411E-01 -3.655142337E-02
3.573275208E-01 9.144000411E-01 -3.659654781E-02
3.554443121E-01 9.144000411E-01 -3.663977236E-02
3.535611033E-01 9.144000411E-01 -3.668299690E-02
3.516778648E-01 9.144000411E-01 -3.672436252E-02
3.497946262E-01 9.144000411E-01 -3.676572442E-02
3.479113579E-01 9.144000411E-01 -3.680510819E-02
3.460280597E-01 9.144000411E-01 -3.684449568E-02
3.441447020E-01 9.144000411E-01 -3.688189387E-02
3.422613740E-01 9.144000411E-01 -3.691929579E-02
3.403780460E-01 9.144000411E-01 -3.695470840E-02
3.384946585E-01 9.144000411E-01 -3.699012101E-02
3.366112709E-01 9.144000411E-01 -3.702352196E-02
3.347278535E-01 9.144000411E-01 -3.705692291E-02
3.328444362E-01 9.144000411E-01 -3.708827868E-02
3.309609890E-01 9.144000411E-01 -3.711963817E-02
3.290775120E-01 9.144000411E-01 -3.714888915E-02
3.271940351E-01 9.144000411E-01 -3.717814386E-02
3.253105581E-01 9.144000411E-01 -3.720530123E-02
3.234270215E-01 9.144000411E-01 -3.723245859E-02
3.215435147E-01 9.144000411E-01 -3.725748882E-02
3.196599782E-01 9.144000411E-01 -3.728251159E-02
3.177764416E-01 9.144000411E-01 -3.730533272E-02
3.158928454E-01 9.144000411E-01 -3.732814640E-02
3.140092790E-01 9.144000411E-01 -3.734876588E-02
3.121257126E-01 9.144000411E-01 -3.736938536E-02
3.102420866E-01 9.144000411E-01 -3.738775849E-02
3.083584607E-01 9.144000411E-01 -3.740613908E-02
3.064748645E-01 9.144000411E-01 -3.742219135E-02
3.045912087E-01 9.144000411E-01 -3.743824735E-02
3.027075827E-01 9.144000411E-01 -3.745198995E-02
3.008239269E-01 9.144000411E-01 -3.746572882E-02
2.989402711E-01 9.144000411E-01 -3.747708723E-02
2.970565856E-01 9.144000411E-01 -3.748844564E-02
2.951729000E-01 9.144000411E-01 -3.749736771E-02
2.932892442E-01 9.144000411E-01 -3.750629351E-02
2.914055884E-01 9.144000411E-01 -3.751277924E-02
2.895218432E-01 9.144000411E-01 -3.751926124E-02
2.876381874E-01 9.144000411E-01 -3.752318397E-02
2.857544720E-01 9.144000411E-01 -3.752710670E-02
2.838707864E-01 9.144000411E-01 -3.752848506E-02
2.819871008E-01 9.144000411E-01 -3.752985969E-02
2.801033854E-01 9.144000411E-01 -3.752861917E-02
2.782196999E-01 9.144000411E-01 -3.752737492E-02
2.763359845E-01 9.144000411E-01 -3.752344102E-02
2.744522989E-01 9.144000411E-01 -3.751950338E-02
2.725686431E-01 9.144000411E-01 -3.751287237E-02
2.706849277E-01 9.144000411E-01 -3.750623763E-02
2.688012719E-01 9.144000411E-01 -3.749676049E-02
2.669175863E-01 9.144000411E-01 -3.748728335E-02
2.650339305E-01 9.144000411E-01 -3.747498989E-02
2.631502748E-01 9.144000411E-01 -3.746269643E-02
2.612666190E-01 9.144000411E-01 -3.744747490E-02
2.593829930E-01 9.144000411E-01 -3.743225709E-02
