#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS15_KS_1p0668mm_SINGLE_LAYER"
4.049756527E-01 9.144000411E-01 -3.518524766E-02
4.024029970E-01 9.144000411E-01 -3.527611494E-02
4.024029970E-01 9.144000411E-01 -3.527611494E-02
3.998302519E-01 9.144000411E-01 -3.536515683E-02
3.998302519E-01 9.144000411E-01 -3.536515683E-02
3.972575068E-01 9.144000411E-01 -3.545270115E-02
3.972574770E-01 9.144000411E-01 -3.545270115E-02
3.946846724E-01 9.144000411E-01 -3.553854302E-02
3.946846724E-01 9.144000411E-01 -3.553854302E-02
3.921117783E-01 9.144000411E-01 -3.562274203E-02
3.921117485E-01 9.144000411E-01 -3.562274575E-02
3.895388544E-01 9.144000411E-01 -3.570540622E-02
3.895388246E-01 9.144000411E-01 -3.570540622E-02
3.869658411E-01 9.144000411E-01 -3.578623384E-02
3.869658411E-01 9.144000411E-01 -3.578623384E-02
3.843928277E-01 9.144000411E-01 -3.586551920E-02
3.843927979E-01 9.144000411E-01 -3.586551920E-02
3.818196952E-01 9.144000411E-01 -3.594313562E-02
3.818196952E-01 9.144000411E-01 -3.594313562E-02
3.792465925E-01 9.144000411E-01 -3.601899743E-02
3.792465627E-01 9.144000411E-01 -3.601899743E-02
3.766733706E-01 9.144000411E-01 -3.609328717E-02
3.766733706E-01 9.144000411E-01 -3.609329090E-02
3.741001189E-01 9.144000411E-01 -3.616581857E-02
3.741001189E-01 9.144000411E-01 -3.616581857E-02
3.715268672E-01 9.144000411E-01 -3.623662144E-02
3.715268373E-01 9.144000411E-01 -3.623662144E-02
3.689535260E-01 9.144000411E-01 -3.630581871E-02
3.689534962E-01 9.144000411E-01 -3.630581871E-02
3.663801253E-01 9.144000411E-01 -3.637322411E-02
3.663801253E-01 9.144000411E-01 -3.637322411E-02
3.638066947E-01 9.144000411E-01 -3.643886000E-02
3.638066947E-01 9.144000411E-01 -3.643886000E-02
3.612332344E-01 9.144000411E-01 -3.650286049E-02
3.612332046E-01 9.144000411E-01 -3.650286049E-02
3.586597145E-01 9.144000411E-01 -3.656505793E-02
3.586596847E-01 9.144000411E-01 -3.656505793E-02
3.560861945E-01 9.144000411E-01 -3.662541881E-02
3.560861647E-01 9.144000411E-01 -3.662541881E-02
3.535125852E-01 9.144000411E-01 -3.668409213E-02
3.535125852E-01 9.144000411E-01 -3.668409213E-02
3.509389460E-01 9.144000411E-01 -3.674104065E-02
3.509389460E-01 9.144000411E-01 -3.674104065E-02
3.483652771E-01 9.144000411E-01 -3.679606318E-02
3.483652771E-01 9.144000411E-01 -3.679606318E-02
3.457915783E-01 9.144000411E-01 -3.684928641E-02
3.457915485E-01 9.144000411E-01 -3.684928641E-02
3.432177901E-01 9.144000411E-01 -3.690067679E-02
3.432177603E-01 9.144000411E-01 -3.690067679E-02
3.406440020E-01 9.144000411E-01 -3.695019707E-02
3.406440020E-01 9.144000411E-01 -3.695019707E-02
3.380701840E-01 9.144000411E-01 -3.699787706E-02
3.380701840E-01 9.144000411E-01 -3.699787706E-02
3.354963362E-01 9.144000411E-01 -3.704361618E-02
3.354963064E-01 9.144000411E-01 -3.704361618E-02
3.329224586E-01 9.144000411E-01 -3.708750755E-02
3.329224288E-01 9.144000411E-01 -3.708750755E-02
3.303485215E-01 9.144000411E-01 -3.712940589E-02
3.303485215E-01 9.144000411E-01 -3.712940589E-02
3.277745545E-01 9.144000411E-01 -3.716942295E-02
3.277745545E-01 9.144000411E-01 -3.716942295E-02
3.252005875E-01 9.144000411E-01 -3.720741346E-02
3.252005577E-01 9.144000411E-01 -3.720741346E-02
3.226265907E-01 9.144000411E-01 -3.724347055E-02
3.226265609E-01 9.144000411E-01 -3.724347427E-02
3.200525343E-01 9.144000411E-01 -3.727747127E-02
3.200525343E-01 9.144000411E-01 -3.727747127E-02
3.174784482E-01 9.144000411E-01 -3.730948269E-02
3.174784482E-01 9.144000411E-01 -3.730948269E-02
3.149043918E-01 9.144000411E-01 -3.733939677E-02
3.149043620E-01 9.144000411E-01 -3.733939677E-02
3.123302758E-01 9.144000411E-01 -3.736728057E-02
3.123302758E-01 9.144000411E-01 -3.736728057E-02
3.097561300E-01 9.144000411E-01 -3.739301115E-02
3.097561300E-01 9.144000411E-01 -3.739301115E-02
3.071819842E-01 9.144000411E-01 -3.741667047E-02
3.071819842E-01 9.144000411E-01 -3.741667047E-02
3.046077788E-01 9.144000411E-01 -3.743811324E-02
3.046077788E-01 9.144000411E-01 -3.743811324E-02
3.020336032E-01 9.144000411E-01 -3.745744750E-02
3.020336032E-01 9.144000411E-01 -3.745745122E-02
2.994593978E-01 9.144000411E-01 -3.747449443E-02
2.994593680E-01 9.144000411E-01 -3.747449443E-02
2.968851924E-01 9.144000411E-01 -3.748938814E-02
2.968851626E-01 9.144000411E-01 -3.748938814E-02
2.943109572E-01 9.144000411E-01 -3.750193119E-02
2.943109572E-01 9.144000411E-01 -3.750193119E-02
2.917366922E-01 9.144000411E-01 -3.751225397E-02
2.917366922E-01 9.144000411E-01 -3.751225397E-02
2.891624570E-01 9.144000411E-01 -3.752019256E-02
2.891624570E-01 9.144000411E-01 -3.752019256E-02
2.865881920E-01 9.144000411E-01 -3.752582148E-02
2.865881920E-01 9.144000411E-01 -3.752582148E-02
2.840139568E-01 9.144000411E-01 -3.752902523E-02
2.840139270E-01 9.144000411E-01 -3.752902523E-02
2.814396620E-01 9.144000411E-01 -3.752982616E-02
2.814396620E-01 9.144000411E-01 -3.752982616E-02
2.788654268E-01 9.144000411E-01 -3.752817586E-02
2.788653970E-01 9.144000411E-01 -3.752817586E-02
2.762911320E-01 9.144000411E-01 -3.752401844E-02
2.762911320E-01 9.144000411E-01 -3.752401844E-02
2.737168968E-01 9.144000411E-01 -3.751736879E-02
2.737168968E-01 9.144000411E-01 -3.751736879E-02
2.711426318E-01 9.144000411E-01 -3.750810400E-02
2.711426318E-01 9.144000411E-01 -3.750810400E-02
2.685684264E-01 9.144000411E-01 -3.749630600E-02
2.685683966E-01 9.144000411E-01 -3.749630600E-02
2.659941912E-01 9.144000411E-01 -3.748178110E-02
2.659941614E-01 9.144000411E-01 -3.748178110E-02
2.634199858E-01 9.144000411E-01 -3.746467084E-02
2.634199858E-01 9.144000411E-01 -3.746467084E-02
2.608457804E-01 9.144000411E-01 -3.744475916E-02
